Sample,FlyID,Label,Collection,Females,Males,Total,PropFemale,Notes
aff_102,20110500_102,102,Pittsford NY (May 2011),11,16,27,0.4074074074,
aff_126,20110500_126,126,Pittsford NY (May 2011),,,0,,no information on these - were not supposed to be sequenced
aff_128,20110500_128,128,Pittsford NY (May 2011),,,0,,no information on these - were not supposed to be sequenced
aff_130516_M3,130516-M3,130516-M3,"Rochester, NY (May 2013)",23,1,24,0.9583333333,
aff_130516_M7,130516-M7,130516-M7,"Rochester, NY (May 2013)",11,17,28,0.3928571429,
aff_130530_M11,130530-M11,130530-M11,"Rochester, NY (May 2013)",12,0,12,1,
aff_130530_M6,130530-M6,130530-M6,"Rochester, NY (May 2013)",32,21,53,0.6037735849,
aff_130539_M7,130530-M7,130530-M7,"Rochester, NY (May 2013)",0,0,0,,
aff_140515_M14,20140515-M14,20140515-M14,"Rochester, NY (May 2014)",25,0,25,1,L+
aff_140515_M19,20140515-M19,20140515-M19,"Rochester, NY (May 2014)",14,10,24,0.5833333333,L+
aff_140515_M5,20140515-M5,20140515-M5,"Rochester, NY (May 2014)",13,12,25,0.52,
aff_140,20110500_140,140,"Athens, GA (May 2011)",42,43,85,0.4941176471,
aff_148,20110500_148,148,"Athens, GA (May 2011)",22,19,41,0.5365853659,
aff_149,20110500_149,149,"Athens, GA (May 2011)",38,36,74,0.5135135135,
aff_154,20110500_154,154,"Athens, GA (May 2011)",56,56,112,0.5,
aff_161,20110500_161,161,"Athens, GA (May 2011)",28,31,59,0.4745762712,
aff_167,20110500_167,167,"Athens, GA (May 2011)",42,38,80,0.525,
aff_170425_M3,170425-M3,170425-M3,"Lawrence, KS (April 2017)",17,0,17,1,
aff_170427_M5,170427-M5,170427-M5,"Lawrence, KS (April 2017)",16,26,42,0.380952381,
aff_170927_M9,170427-M9,170427-M9,"Lawrence, KS (April 2017)",14,27,41,0.3414634146,
aff_180421_M7,180421-M7,180421-M7,"Lawrence, KS (April 2018)",28,0,28,1,
aff_180421_M9,180421-M9,180421-M9,"Lawrence, KS (April 2018)",3,26,29,0.1034482759,
