Sample,Females,Males,Total,PropFemale,IlluminaPoolName
aff_102,11,16,27,0.407407407,pool74
aff_126,,,,,pool7
aff_128,,,,,pool72
aff_130516_M3,23,1,24,0.958333333,pool8
aff_130516_M7,11,17,28,0.392857143,pool19
aff_130530_M11,12,0,12,1,pool3
aff_130530_M6,32,21,53,0.603773585,pool15
aff_130539_M7,,,,,pool41
aff_140,42,43,85,0.494117647,pool80
aff_140515_M14,25,0,25,1,pool63
aff_140515_M19,14,10,24,0.583333333,pool45
aff_140515_M5,13,12,25,0.52,pool4
aff_148,22,19,41,0.536585366,pool6
aff_149,38,36,74,0.513513514,pool17
aff_154,56,56,112,0.5,pool64
aff_161,28,31,59,0.474576271,pool9
aff_167,42,38,80,0.525,pool14
aff_170425_M3,17,0,17,1,pool71
aff_170427_M5,16,26,42,0.380952381,pool77
aff_170927_M9,14,27,41,0.341463415,pool21
aff_180421_M7,28,0,28,1,pool10
aff_180421_M9,3,26,29,0.103448276,pool48
aff_180423_M1,34,22,56,0.607142857,pool43
aff_180423_M8,28,8,36,0.777777778,pool76
aff_180425_M38,19,5,24,0.791666667,pool5
aff_180425_M58B,50,53,103,0.485436893,pool62
aff_180430_M13,38,12,50,0.76,pool24
aff_180430_M7,21,18,39,0.538461539,pool40
aff_180508_M10_male,18,0,18,1,pool75
aff_180508_M21_male,11,13,24,0.458333333,pool47
aff_180508_M58_male,16,3,19,0.842105263,pool59
aff_180508_M66,7,22,29,0.24137931,pool23
aff_180508_M68_male,26,26,52,0.5,pool38
aff_180508_M75_male,11,9,20,0.55,pool60
aff_180508_M82_male,,,,,pool66
aff_180508_M95_male,,,,,pool44
aff_191,53,49,102,0.519607843,pool35
aff_192,54,46,100,0.54,pool42
aff_50,81,76,157,0.515923567,pool1
aff_86,75,55,130,0.576923077,pool36
aff_L+_SM_M11,34,34,68,0.5,pool20
aff_L+_SM15_M2,39,40,79,0.493670886,pool46
aff_L+_SM15_M60,79,29,108,0.731481482,pool29
aff_L+_SM15_M76,49,51,100,0.49,pool18
aff_Pool_M23,22,21,43,0.511627907,pool32
aff_pool_m25,28,6,34,0.823529412,pool2
aff_pool_M41,13,1,14,0.928571429,pool61
aff_pool_M43,14,11,25,0.56,pool68
aff_Pool_M47,13,12,25,0.52,pool34
aff_pool_M6,14,18,32,0.4375,pool70
aff_SM_M13,61,42,103,0.59223301,pool79
aff_SM_M4,21,0,21,1,pool69
aff_SM_M8,111,3,114,0.973684211,pool65
aff_SM15_M124,4,4,8,0.5,pool37
aff_SM15_M157,31,2,33,0.939393939,pool30
aff_SM15_M159,45,41,86,0.523255814,pool13
aff_SM15_M160,70,8,78,0.897435897,pool33
aff_SM15_M164,63,49,112,0.5625,pool26
aff_SM15_M168,47,54,101,0.465346535,pool12
aff_SM15_M185,25,23,48,0.520833333,pool78
aff_SM15_M201,22,6,28,0.785714286,pool22
aff_SM15_M202,19,4,23,0.826086957,pool16
aff_SM15_M204,25,18,43,0.581395349,pool31
aff_SM15_M207,17,16,33,0.515151515,pool67
aff_SM15_M208,21,26,47,0.446808511,pool27
aff_SM15_M210,13,60,73,0.178082192,pool58
aff_SM15_M22,101,92,193,0.523316062,pool39
aff_SM15_M71,20,22,42,0.476190476,pool11
aff_SM15_M98,70,9,79,0.886075949,pool28
aff_yaf_141,109,1,110,0.990909091,pool88
aff_yaf_144,84,3,87,0.965517241,pool90
aff_yaf_170,38,2,40,0.95,pool87
aff_yaf_194,39,1,40,0.975,pool89
aff_yaf_54,100,13,113,0.884955752,pool91
