"ind","X"
"Daff_SR1","SR1"
"Daff_SR2","SR2"
"Daff_ST","ST"
"pool1","ST"
"pool10","SR1"
"pool11","SR1"
"pool12","SR1"
"pool13","ST"
"pool14","ST"
"pool15","ST"
"pool16","SR1"
"pool17","ST"
"pool18","ST"
"pool19","ST"
"pool2","ST"
"pool20","ST"
"pool21","ST"
"pool22","ST"
"pool23","ST"
"pool24","ST"
"pool26","ST"
"pool27","ST"
"pool28","ST"
"pool29","ST"
"pool3","ST"
"pool30","SR1"
"pool31","SR1"
"pool32","ST"
"pool33","SR1"
"pool34","ST"
"pool35","ST"
"pool36","SR1"
"pool37","SR1"
"pool38","ST"
"pool39","ST"
"pool4","ST"
"pool40","ST"
"pool41","ST"
"pool42","ST"
"pool43","ST"
"pool44","SR2"
"pool45","ST"
"pool46","ST"
"pool47","ST"
"pool48","ST"
"pool5","SR1"
"pool57","SR2"
"pool58","SR1"
"pool59","SR1"
"pool6","ST"
"pool60","ST"
"pool61","SR1"
"pool62","ST"
"pool63","SR1"
"pool64","ST"
"pool65","ST"
"pool66","ST"
"pool67","ST"
"pool68","ST"
"pool69","ST"
"pool7","ST"
"pool70","ST"
"pool71","SR1"
"pool72","ST"
"pool74","ST"
"pool75","SR2"
"pool76","SR2"
"pool77","ST"
"pool78","ST"
"pool79","ST"
"pool8","ST"
"pool80","ST"
"pool87","SR1"
"pool88","SR2"
"pool89","SR1"
"pool9","ST"
"pool90","SR1"
"pool91","SR1"
