scaffold,start,end,mid,sites,pi_ST,pi_SR1,pi_SR2,dxy_ST_SR1,dxy_ST_SR2,dxy_SR1_SR2,Fst_ST_SR1,Fst_ST_SR2,Fst_SR1_SR2
ChrX_MullerAD,100001,200000,162247,1151,0.0666,0.0359,0.0045,0.0527,0.0461,0.0266,0.01,0.0316,0.0748
ChrX_MullerAD,200001,300000,249370,1726,0.059,0.0303,0.0142,0.0453,0.0419,0.025,0.0048,0.0177,0.0362
ChrX_MullerAD,300001,400000,355191,1555,0.0694,0.0351,0.0239,0.0544,0.0521,0.0308,0.014,0.0155,0.0141
ChrX_MullerAD,400001,500000,443749,2170,0.0875,0.0449,0.0285,0.0693,0.0643,0.0375,0.0167,0.0143,0.0073
ChrX_MullerAD,500001,600000,553588,1896,0.1202,0.0936,0.0574,0.1084,0.0945,0.0794,0.0052,0.0093,0.0165
ChrX_MullerAD,600001,700000,657872,2738,0.1314,0.1253,0.0975,0.1304,0.123,0.1156,0.0061,0.0123,0.0124
ChrX_MullerAD,700001,800000,748074,4238,0.1303,0.132,0.1097,0.1358,0.1363,0.1326,0.0142,0.0233,0.0326
ChrX_MullerAD,800001,900000,847055,3846,0.0991,0.0988,0.0697,0.1009,0.0993,0.0998,0.0081,0.0283,0.0576
ChrX_MullerAD,900001,1000000,949099,3353,0.1241,0.1209,0.0894,0.1248,0.1265,0.1272,0.0074,0.0297,0.0657
ChrX_MullerAD,1000001,1100000,1052205,3469,0.1197,0.1286,0.107,0.1277,0.1387,0.1449,0.0116,0.0385,0.0735
ChrX_MullerAD,1100001,1200000,1150821,4381,0.1205,0.1278,0.1157,0.1268,0.1421,0.1478,0.0085,0.0361,0.0701
ChrX_MullerAD,1200001,1300000,1255009,3677,0.1149,0.1179,0.0921,0.1192,0.1281,0.1329,0.0095,0.0393,0.0829
ChrX_MullerAD,1300001,1400000,1348251,4747,0.1479,0.1519,0.1228,0.1529,0.1664,0.1715,0.008,0.0385,0.0784
ChrX_MullerAD,1400001,1500000,1447698,3957,0.1345,0.1358,0.1109,0.1381,0.1413,0.1453,0.0086,0.0257,0.0577
ChrX_MullerAD,1500001,1600000,1551062,3092,0.0916,0.0819,0.0651,0.0883,0.0919,0.0882,0.0069,0.0278,0.0635
ChrX_MullerAD,1600001,1700000,1649117,4335,0.1138,0.1157,0.0967,0.1176,0.1247,0.1259,0.01,0.0314,0.0602
ChrX_MullerAD,1700001,1800000,1743824,4550,0.1222,0.1261,0.1096,0.1266,0.1366,0.1401,0.0081,0.0311,0.062
ChrX_MullerAD,1800001,1900000,1850524,3598,0.1412,0.1522,0.1243,0.1496,0.1583,0.1657,0.0081,0.0332,0.0638
ChrX_MullerAD,1900001,2000000,1954830,3963,0.1107,0.1163,0.0979,0.1157,0.1266,0.1313,0.0081,0.0367,0.0725
ChrX_MullerAD,2000001,2100000,2046884,3773,0.1239,0.1211,0.0977,0.125,0.1307,0.1293,0.008,0.0297,0.0587
ChrX_MullerAD,2100001,2200000,2147772,3336,0.1795,0.1782,0.1541,0.1829,0.1973,0.1964,0.0091,0.0313,0.0596
